lineNum,countryCode,year,sex,sport,sportcode,goldInSport,silverInSport,bronzeInSport,goldInSportCode,silverInSportCode,bronzeInSportCode,goldInSportCodeSex,silverInSportCodeSex,bronzeInSportCodeSex,athletesBaseThisYear,athletesCodeThisYear,athletesSexThisYear,athletesBothThisYear,athletesLastYear,athletesCodeLastYear,athletesSexLastYear,athletesBothLastYear
0,1,31,1,0,0,124,130,104,11,10,0,0,0,0,0,0,0,0,587,11,317,0
1,1,31,1,0,1,124,130,104,78,29,12,45,13,12,0,0,0,0,587,18,317,8
2,1,31,1,0,2,124,130,104,0,0,0,0,0,0,0,0,0,0,587,1,317,1
3,1,31,1,0,3,124,130,104,27,67,57,17,52,57,0,0,0,0,587,85,317,40
4,1,31,1,0,4,124,130,104,0,0,0,0,0,0,0,0,0,0,587,13,317,13
5,1,31,1,1,5,2,34,0,1,17,4,1,17,4,0,0,0,0,587,14,317,6
6,1,31,1,2,6,16,12,26,11,8,17,8,6,17,0,0,0,0,587,59,317,25
7,1,31,1,3,7,34,26,24,35,25,23,17,13,23,0,0,0,0,587,16,317,6
8,1,31,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,270,0
9,1,31,1,5,10,0,22,32,0,0,4,0,0,4,0,0,0,0,587,8,317,4
10,1,31,1,5,11,0,22,32,0,11,12,0,11,12,0,0,0,0,587,12,317,12
11,1,31,1,9,15,8,0,0,6,3,0,4,0,0,0,0,0,0,587,22,317,11
12,1,31,1,9,16,8,0,0,0,0,0,0,0,0,0,0,0,0,587,5,317,3
13,1,31,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,317,0
14,1,31,1,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,317,0
15,1,31,1,12,19,8,0,0,1,0,0,1,0,0,0,0,0,0,587,2,317,2
16,1,31,1,12,20,8,0,0,0,0,0,0,0,0,0,0,0,0,587,0,317,0
17,1,31,1,12,21,8,0,0,0,0,0,0,0,0,0,0,0,0,587,2,317,1
18,1,31,1,12,22,8,0,0,0,0,0,0,0,0,0,0,0,0,587,3,317,2
19,1,31,1,12,23,8,0,0,3,0,0,3,0,0,0,0,0,0,587,17,317,9
20,1,31,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,270,0
21,1,31,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,270,0
22,1,31,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,270,0
23,1,31,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,270,0
24,1,31,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,270,0
25,1,31,1,14,29,12,20,10,8,18,5,6,10,5,0,0,0,0,587,24,317,15
26,1,31,1,15,30,0,66,0,0,33,0,0,33,0,0,0,0,0,587,17,317,17
27,1,31,1,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,317,0
28,1,31,1,17,32,22,42,26,45,49,20,11,21,20,0,0,0,0,587,0,317,0
29,1,31,1,18,33,0,0,14,0,0,12,0,0,12,0,0,0,0,587,4,317,2
30,1,31,0,19,34,9,11,8,4,9,7,4,9,7,0,0,0,0,587,74,270,42
31,1,31,0,19,35,9,11,8,5,0,0,5,0,0,0,0,0,0,587,6,270,6
32,1,31,1,19,36,4,20,0,1,3,1,1,1,1,0,0,0,0,587,4,317,2
33,1,31,1,20,37,0,0,52,0,0,13,0,0,13,0,0,0,0,587,0,317,0
34,1,31,1,20,37,0,0,52,0,0,13,0,0,13,0,0,0,0,587,0,317,0
35,1,31,1,22,39,16,6,22,8,3,12,8,3,12,0,0,0,0,587,6,317,6
36,1,31,1,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,317,0
37,1,31,1,25,42,0,0,0,0,1,0,0,0,0,0,0,0,0,587,3,317,1
38,1,31,1,29,46,16,22,46,0,0,0,0,0,0,0,0,0,0,587,0,317,0
