lineNum,countryCode,year,sex,sport,sportcode,goldInSport,silverInSport,bronzeInSport,goldInSportCode,silverInSportCode,bronzeInSportCode,goldInSportCodeSex,silverInSportCodeSex,bronzeInSportCodeSex,athletesBaseThisYear,athletesCodeThisYear,athletesSexThisYear,athletesBothThisYear,athletesLastYear,athletesCodeLastYear,athletesSexLastYear,athletesBothLastYear,goldThisYear,silverThisYear,bronzeThisYear
0,0,31,1,0,0,124,130,104,11,10,0,0,0,0,587,11,317,0,587,11,317,0,0,0,0
1,0,31,1,0,1,124,130,104,78,29,12,45,13,12,587,18,317,8,587,18,317,8,11,2,0
2,0,31,1,0,2,124,130,104,0,0,0,0,0,0,587,1,317,1,587,1,317,1,0,0,0
3,0,31,1,0,3,124,130,104,27,67,57,17,52,57,587,85,317,40,587,85,317,40,0,1,21
4,0,31,1,0,4,124,130,104,0,0,0,0,0,0,587,13,317,13,587,13,317,13,0,0,0
5,0,31,1,1,5,2,34,0,1,17,4,1,17,4,587,14,317,6,587,14,317,6,0,0,0
6,0,31,1,2,6,16,12,26,11,8,17,8,6,17,587,59,317,25,587,59,317,25,0,1,2
7,0,31,1,3,7,34,26,24,35,25,23,17,13,23,587,16,317,6,587,16,317,6,0,0,0
8,0,31,0,4,8,0,0,0,0,0,0,0,0,0,587,0,270,0,587,0,270,0,0,0,0
9,0,31,1,5,10,0,22,32,0,0,4,0,0,4,587,8,317,4,587,8,317,4,0,0,0
10,0,31,1,5,11,0,22,32,0,11,12,0,11,12,587,12,317,12,587,12,317,12,0,0,0
11,0,31,1,9,15,8,0,0,6,3,0,4,0,0,587,22,317,11,587,22,317,11,1,0,0
12,0,31,1,9,16,8,0,0,0,0,0,0,0,0,587,5,317,3,587,5,317,3,0,0,0
13,0,31,1,10,17,0,0,0,0,0,0,0,0,0,587,0,317,0,587,0,317,0,0,0,0
14,0,31,1,11,18,0,0,0,0,0,0,0,0,0,587,0,317,0,587,0,317,0,0,0,0
15,0,31,1,12,19,8,0,0,1,0,0,1,0,0,587,2,317,2,587,2,317,2,1,0,0
16,0,31,1,12,20,8,0,0,0,0,0,0,0,0,587,0,317,0,587,0,317,0,0,0,0
17,0,31,1,12,21,8,0,0,0,0,0,0,0,0,587,2,317,1,587,2,317,1,0,0,0
18,0,31,1,12,22,8,0,0,0,0,0,0,0,0,587,3,317,2,587,3,317,2,0,0,0
19,0,31,1,12,23,8,0,0,3,0,0,3,0,0,587,17,317,9,587,17,317,9,0,0,0
20,0,31,0,13,24,0,0,0,0,0,0,0,0,0,587,0,270,0,587,0,270,0,0,0,0
21,0,31,0,13,25,0,0,0,0,0,0,0,0,0,587,0,270,0,587,0,270,0,0,0,0
22,0,31,0,13,26,0,0,0,0,0,0,0,0,0,587,0,270,0,587,0,270,0,0,0,0
23,0,31,0,13,27,0,0,0,0,0,0,0,0,0,587,0,270,0,587,0,270,0,0,0,0
24,0,31,0,13,28,0,0,0,0,0,0,0,0,0,587,0,270,0,587,0,270,0,0,0,0
25,0,31,1,14,29,12,20,10,8,18,5,6,10,5,587,24,317,15,587,24,317,15,1,0,0
26,0,31,1,15,30,0,66,0,0,33,0,0,33,0,587,17,317,17,587,17,317,17,0,17,0
27,0,31,1,16,31,0,0,0,0,0,0,0,0,0,587,0,317,0,587,0,317,0,0,0,0
28,0,31,1,17,32,22,42,26,45,49,20,11,21,20,587,0,317,0,587,0,317,0,0,0,0
29,0,31,1,18,33,0,0,14,0,0,12,0,0,12,587,4,317,2,587,4,317,2,0,0,0
30,0,31,0,19,34,9,11,8,4,9,7,4,9,7,587,74,270,42,587,74,270,42,2,2,2
31,0,31,0,19,35,9,11,8,5,0,0,5,0,0,587,6,270,6,587,6,270,6,2,0,0
32,0,31,1,19,36,4,20,0,1,3,1,1,1,1,587,4,317,2,587,4,317,2,1,1,0
33,0,31,1,20,37,0,0,52,0,0,13,0,0,13,587,0,317,0,587,0,317,0,0,0,0
34,0,31,1,20,37,0,0,52,0,0,13,0,0,13,587,0,317,0,587,0,317,0,0,0,0
35,0,31,1,22,39,16,6,22,8,3,12,8,3,12,587,6,317,6,587,6,317,6,0,0,0
36,0,31,1,24,41,0,0,0,0,0,0,0,0,0,587,0,317,0,587,0,317,0,0,0,0
37,0,31,1,25,42,0,0,0,0,1,0,0,0,0,587,3,317,1,587,3,317,1,0,0,0
38,0,31,1,29,46,16,22,46,0,0,0,0,0,0,587,0,317,0,587,0,317,0,0,0,0
39,0,31,1,29,47,16,22,46,8,11,25,8,11,25,587,14,317,12,587,14,317,12,0,0,4
40,0,31,1,30,48,0,0,0,0,0,0,0,0,0,587,14,317,14,587,14,317,14,0,0,0
41,0,31,1,30,49,0,0,0,0,0,0,0,0,0,587,0,317,0,587,0,317,0,0,0,0
42,0,31,1,31,50,6,6,2,3,3,2,3,3,2,587,13,317,5,587,13,317,5,0,0,0
43,0,31,1,32,51,22,16,24,34,18,29,11,8,29,587,33,317,12,587,33,317,12,0,0,0
