0,SWA,Artistic Swimming,,
1,DIV,Diving,,
2,OWS,Marathon Swimming,,
3,SWM,Swimming,,
4,WPO,Water Polo,,
5,ARC,Archery,,
6,ATH,Athletics,,
7,BDM,Badminton,,
8,BSB,Baseball,,
9,SBL,Softball,,
10,BK3,3x3 Basketball,,
11,BKB,Basketball,,
12,PEL,Basque Pelota,,
13,BOX,Boxing,,
14,BKG,Breaking,,
15,CSP,Canoe Sprint,,
16,CSL,Canoe Slalom,,
17,CKT,Cricket,,
18,CQT,Croquet,,
19,BMF,Cycling BMX Freestyle,,
20,BMX,Cycling BMX Racing,,
21,MTB,Cycling Mountain Bike,,
22,CRD,Cycling Road,,
23,CTR,Cycling Track,,
24,EDR,Equestrianism,Dressage,
25,EVE,Equestrianism,Eventing,
26,EJP,Equestrianism,Jump,
27,EVL,Equestrianism,Vaulting,
28,EDV,Equestrianism,Hacks And Hunter,
28,EDV,Equestrianism,Four-In-Hand,
29,FEN,Fencing,,
30,HOC,Hockey,,Ice
31,AFB,Flag Football,,
32,FBL,Football,,
33,GLF,Golf,,
34,GAR,Artistic Gymnastics,,
35,GRY,Rhythmic Gymnastics,,
36,GTR,Trampoline Gymnastics,,
37,HBL,Handball,,
38,JDP,Jeu De Paume,,
39,JUD,Judo,,
40,KTE,Karate,,
41,LAX,Lacrosse,,
42,MPN,Modern Pentathlon,,
43,POL,Polo,,Water
44,RQT,Racquets,,
45,RQE,Roque,,
46,ROC,Costal Rowing,,
47,ROW,Rowing,,
48,RU7,Rugby Sevens,,
49,RUG,Rubgy,,Sevens
50,SAL,Sailing,,
51,SHO,Shooting,,
52,SKB,Skateboarding,,
53,CLB,Sport Climbing,,
54,SQU,Squash,,
55,SRF,Surfing,,
56,TTE,Table Tennis,,
57,TKW,Taekwondo,,
58,TEN,Tennis,,Table
59,TRI,Triathlon,,
60,TOW,Tug-Of-War,,
61,VBV,Beach Volleyball,,
62,VVO,Volleyball,,Beach
63,PBT,Motorboating,,
64,WLF,Weightlifting,,
65,WRF,Wrestling,Freestyle,
66,WRG,Wrestling,Greco-Roman,
67,FSK,Figure Skating,,
68,IHO,Ice Hockey
